date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:37:48	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:51:49%20GMT	http://demo.epic-webdesign.com/robots.txt		(from )
19:37:48	45879/45879	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20May%202021%2011:57:19%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/index.html	(from )
19:37:50	154875/154875	---MCZ	200	added ('OK')	text/css	date:Sun,%2016%20May%202021%2011:57:21%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/css/bootstrap.min.css	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/css/bootstrap.min.css	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:37:50	37566/37566	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20May%202021%2012:09:00%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/css/style.css	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/css/style.css	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:37:51	63608/63608	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20May%202021%2011:57:21%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/css/bootstrap-icons.css	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/css/bootstrap-icons.css	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:37:52	60462/60462	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20May%202021%2011:57:20%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/css/animate.css	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/css/animate.css	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:37:53	8161/8161	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20May%202021%2011:57:22%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/css/style-magnific-popup.css	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/css/style-magnific-popup.css	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:37:53	1406/1406	---M--	200	added ('OK')	image/x-icon	date:Sun,%2016%20May%202021%2011:57:31%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/images/favicon.ico	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/images/favicon.ico	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:37:55	33075/33075	---M--	200	added ('OK')	image/jpeg	date:Sun,%2016%20May%202021%2011:57:43%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/images/testimonials3.jpg	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/images/testimonials3.jpg	(from http://demo.epic-webdesign.com/tf-smart/v3/)
19:37:56	22089/22089	---M--	200	added ('OK')	image/jpeg	date:Sun,%2016%20May%202021%2011:57:43%20GMT	http://demo.epic-webdesign.com/tf-smart/v3/images/testimonials2.jpg	D:/templates/smart/smart_1/demo.epic-webdesign.com/tf-smart/v3/images/testimonials2.jpg	(from http://demo.epic-webdesign.com/tf-smart/v3/)
