date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:50	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:51:49%20GMT	http://demo.epic-webdesign.com/robots.txt		(from )
19:40:51	49480/49480	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20May%202021%2011:08:30%20GMT	http://demo.epic-webdesign.com/tf-smart/v1/	D:/templates/smart/smat_2/demo.epic-webdesign.com/tf-smart/v1/index.html	(from )
19:40:52	154875/154875	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20May%202021%2009:58:00%20GMT	http://demo.epic-webdesign.com/tf-smart/v1/css/bootstrap.min.css	D:/templates/smart/smat_2/demo.epic-webdesign.com/tf-smart/v1/css/bootstrap.min.css	(from http://demo.epic-webdesign.com/tf-smart/v1/)
19:40:52	36590/36590	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20May%202021%2011:07:19%20GMT	http://demo.epic-webdesign.com/tf-smart/v1/css/style.css	D:/templates/smart/smat_2/demo.epic-webdesign.com/tf-smart/v1/css/style.css	(from http://demo.epic-webdesign.com/tf-smart/v1/)
19:40:53	63608/63608	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20May%202021%2009:57:58%20GMT	http://demo.epic-webdesign.com/tf-smart/v1/css/bootstrap-icons.css	D:/templates/smart/smat_2/demo.epic-webdesign.com/tf-smart/v1/css/bootstrap-icons.css	(from http://demo.epic-webdesign.com/tf-smart/v1/)
19:40:54	60462/60462	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20May%202021%2009:57:58%20GMT	http://demo.epic-webdesign.com/tf-smart/v1/css/animate.css	D:/templates/smart/smat_2/demo.epic-webdesign.com/tf-smart/v1/css/animate.css	(from http://demo.epic-webdesign.com/tf-smart/v1/)
19:40:55	8161/8161	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20May%202021%2009:58:01%20GMT	http://demo.epic-webdesign.com/tf-smart/v1/css/style-magnific-popup.css	D:/templates/smart/smat_2/demo.epic-webdesign.com/tf-smart/v1/css/style-magnific-popup.css	(from http://demo.epic-webdesign.com/tf-smart/v1/)
19:40:55	1406/1406	---M--	200	added ('OK')	image/x-icon	date:Fri,%2007%20May%202021%2009:58:08%20GMT	http://demo.epic-webdesign.com/tf-smart/v1/images/favicon.ico	D:/templates/smart/smat_2/demo.epic-webdesign.com/tf-smart/v1/images/favicon.ico	(from http://demo.epic-webdesign.com/tf-smart/v1/)
19:41:01	22089/22089	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20May%202021%2009:58:19%20GMT	http://demo.epic-webdesign.com/tf-smart/v1/images/testimonials2.jpg	D:/templates/smart/smat_2/demo.epic-webdesign.com/tf-smart/v1/images/testimonials2.jpg	(from http://demo.epic-webdesign.com/tf-smart/v1/)
19:41:01	33075/33075	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20May%202021%2009:58:20%20GMT	http://demo.epic-webdesign.com/tf-smart/v1/images/testimonials3.jpg	D:/templates/smart/smat_2/demo.epic-webdesign.com/tf-smart/v1/images/testimonials3.jpg	(from http://demo.epic-webdesign.com/tf-smart/v1/)
